shipment_id,customer_name,customer_city,customer_state,customer_country,customer_segment,carrier_name,mode_of_transport,carrier_rating,origin_city,origin_state,origin_country,destination_city,destination_state,destination_country,product_name,category,unit_price,shipment_date,delivery_date,quantity,total_cost,payment_method,shipping_priority
1681,Stark Industries,Houston,NY,USA,Logistics,Ocean Freight,Plane,4.5,Seattle,NY,USA,Phoenix,PA,USA,Clothing,Home Goods,42.27,5/15/2023,5/21/2023,89,3762.03,Bank Transfer,Standard
1597,Expo Logistics,New York,IL,USA,Logistics,Ocean Freight,Ship,4.9,Philadelphia,AZ,USA,Boston,PA,USA,Machinery,Home Goods,51.06,5/23/2023,5/28/2023,124,6331.44,Credit Card,Standard
1873,Acme Corporation,Chicago,IL,USA,Logistics,Air Cargo,Truck,4.7,Boston,CA,USA,Philadelphia,CA,USA,Clothing,Electronics,41.53,5/14/2023,5/22/2023,183,7599.99,Wire Transfer,Standard
1770,Apex Solutions,Los Angeles,AZ,USA,Logistics,Ocean Freight,Ship,4.6,San Francisco,TX,USA,Seattle,NY,USA,Books,Electronics,41.99,5/22/2023,5/26/2023,211,8859.89,Wire Transfer,Standard
1922,Globex Inc.,San Francisco,CA,USA,Wholesale,Air Cargo,Ship,4.4,Phoenix,TX,USA,San Francisco,TX,USA,Laptops,Home Goods,66.21,5/1/2023,5/9/2023,82,5429.22,Bank Transfer,Standard
1117,Apex Solutions,Seattle,CA,USA,Wholesale,Ocean Freight,Ship,4.8,Phoenix,IL,USA,Los Angeles,IL,USA,Clothing,Industrial,45.05,5/13/2023,5/18/2023,211,9505.55,Wire Transfer,Expedited
1090,Expo Logistics,San Antonio,AZ,USA,Retail,Express Delivery,Truck,4.7,Philadelphia,NY,USA,Chicago,PA,USA,Clothing,Home Goods,55.61,5/20/2023,5/28/2023,149,8285.89,Credit Card,Standard
1296,Globex Inc.,Phoenix,IL,USA,Logistics,Express Delivery,Plane,4.2,San Francisco,TX,USA,Philadelphia,PA,USA,Books,Media,40.42,5/24/2023,5/31/2023,63,2546.46,Bank Transfer,Standard
1421,Acme Corporation,Chicago,TX,USA,Logistics,Express Delivery,Truck,4.6,New York,AZ,USA,Los Angeles,TX,USA,Clothing,Electronics,55.36,5/28/2023,6/4/2023,66,3653.76,Credit Card,Standard
1345,Acme Corporation,Philadelphia,TX,USA,Retail,Express Delivery,Ship,4.3,Seattle,NY,USA,Boston,IL,USA,Machinery,Apparel,41.09,5/2/2023,5/9/2023,151,6204.59,Bank Transfer,Expedited
1999,Expo Logistics,Houston,PA,USA,Retail,Air Cargo,Plane,4.5,Phoenix,PA,USA,San Antonio,TX,USA,Clothing,Home Goods,36.69,5/10/2023,5/15/2023,210,7704.9,Wire Transfer,Expedited
1509,NexGen Enterprises,San Francisco,CA,USA,Wholesale,Ocean Freight,Plane,4.9,Philadelphia,AZ,USA,New York,AZ,USA,Laptops,Home Goods,33.53,5/27/2023,6/4/2023,192,6437.76,Bank Transfer,Standard
1560,TechFuture Ltd.,Philadelphia,IL,USA,Corporate,Air Cargo,Plane,4.5,Seattle,NY,USA,Los Angeles,CA,USA,Laptops,Media,30.42,5/3/2023,5/11/2023,173,5262.66,Wire Transfer,Expedited
1149,Stark Industries,Houston,CA,USA,Wholesale,Ocean Freight,Plane,4.5,Houston,IL,USA,Boston,IL,USA,Clothing,Home Goods,61.78,5/25/2023,5/31/2023,187,11552.86,Credit Card,Standard
1232,Expo Logistics,San Diego,IL,USA,Corporate,Express Delivery,Truck,4.3,San Francisco,CA,USA,San Francisco,NY,USA,Books,Media,38.18,5/9/2023,5/14/2023,128,4887.04,Wire Transfer,Expedited
1865,Acme Corporation,New York,AZ,USA,Retail,Air Cargo,Truck,4.8,San Francisco,CA,USA,Seattle,CA,USA,Books,Home Goods,38.35,5/16/2023,5/23/2023,90,3451.5,Wire Transfer,Expedited
1262,Expo Logistics,New York,NY,USA,Wholesale,Ocean Freight,Plane,4.1,San Antonio,CA,USA,San Diego,NY,USA,Books,Electronics,53.27,5/19/2023,5/24/2023,177,9428.79,Credit Card,Expedited
1697,TechFuture Ltd.,Boston,PA,USA,Wholesale,Air Cargo,Ship,5,Phoenix,AZ,USA,San Francisco,CA,USA,Laptops,Electronics,55.12,5/21/2023,5/28/2023,223,12291.76,Credit Card,Expedited
1871,Acme Corporation,Houston,IL,USA,Wholesale,Express Delivery,Ship,4.1,Boston,CA,USA,Chicago,NY,USA,Laptops,Media,41.46,5/12/2023,5/17/2023,137,5680.02,Wire Transfer,Standard
1563,Acme Corporation,Los Angeles,IL,USA,Corporate,Air Cargo,Plane,4.6,Philadelphia,PA,USA,Chicago,NY,USA,Books,Electronics,41.49,5/19/2023,5/24/2023,99,4107.51,Wire Transfer,Standard
1238,TechFuture Ltd.,New York,NY,USA,Logistics,Air Cargo,Plane,4.2,Los Angeles,TX,USA,Boston,TX,USA,Clothing,Apparel,63.64,5/23/2023,5/30/2023,93,5918.52,Wire Transfer,Standard
1576,TechFuture Ltd.,Seattle,IL,USA,Retail,Air Cargo,Truck,4.9,Boston,NY,USA,New York,IL,USA,Furniture,Home Goods,67.78,5/15/2023,5/19/2023,151,10234.78,Wire Transfer,Expedited
1634,TechFuture Ltd.,Los Angeles,TX,USA,Logistics,Ocean Freight,Truck,4.1,Houston,NY,USA,Boston,AZ,USA,Clothing,Electronics,49.55,5/27/2023,6/1/2023,98,4855.9,Wire Transfer,Standard
1727,Expo Logistics,San Antonio,CA,USA,Corporate,Air Cargo,Plane,4.5,San Antonio,NY,USA,New York,PA,USA,Furniture,Electronics,64.07,5/27/2023,6/2/2023,226,14479.82,Credit Card,Standard
1553,Globex Inc.,San Francisco,IL,USA,Wholesale,Air Cargo,Ship,4.7,Philadelphia,TX,USA,Chicago,NY,USA,Books,Apparel,69.73,5/20/2023,5/28/2023,118,8228.14,Wire Transfer,Standard
1313,NexGen Enterprises,Seattle,NY,USA,Logistics,Ocean Freight,Ship,4.6,Philadelphia,PA,USA,Los Angeles,NY,USA,Furniture,Apparel,42.14,5/30/2023,6/4/2023,166,6995.24,Wire Transfer,Expedited
1135,Apex Solutions,New York,PA,USA,Wholesale,Ocean Freight,Truck,4.8,San Diego,NY,USA,Philadelphia,PA,USA,Laptops,Electronics,37.93,5/1/2023,5/5/2023,137,5196.41,Wire Transfer,Standard
1069,Apex Solutions,San Antonio,TX,USA,Corporate,Express Delivery,Plane,4.1,Phoenix,CA,USA,New York,IL,USA,Clothing,Apparel,48.48,5/16/2023,5/23/2023,136,6593.28,Credit Card,Standard
1360,Stark Industries,San Antonio,CA,USA,Retail,Ocean Freight,Plane,4.4,Seattle,PA,USA,Los Angeles,AZ,USA,Machinery,Home Goods,52.96,5/6/2023,5/14/2023,162,8579.52,Credit Card,Expedited
